  itmf,  dt,  <f_i>,  <CW sin theta>,  <Current>,  <Lorenz force>
     0, 1.000000E-02, 1.198967E-04, 8.716385E-01, 3.006310E+00, 5.914890E+02
    10, 7.296103E-05, 1.240303E-04, 8.615614E-01, 4.046606E+00, 7.978785E+02
    20, 7.328093E-05, 1.626826E-04, 8.502724E-01, 4.580917E+00, 8.306186E+02
    30, 5.332092E-05, 1.934901E-04, 8.452893E-01, 4.891165E+00, 8.489846E+02
    40, 4.949467E-05, 2.137897E-04, 8.462301E-01, 5.147201E+00, 8.763376E+02
    50, 5.043396E-05, 2.341582E-04, 8.470022E-01, 5.368406E+00, 8.964081E+02
    60, 5.156772E-05, 2.544141E-04, 8.472339E-01, 5.560079E+00, 9.117527E+02
    70, 5.220336E-05, 2.738691E-04, 8.473795E-01, 5.733068E+00, 9.252486E+02
    80, 5.253325E-05, 2.926259E-04, 8.470713E-01, 5.882269E+00, 9.356377E+02
    90, 5.291803E-05, 3.105268E-04, 8.465979E-01, 6.016369E+00, 9.441759E+02
   100, 5.313822E-05, 3.281676E-04, 8.457065E-01, 6.131504E+00, 9.501097E+02
   110, 5.343395E-05, 3.448449E-04, 8.446471E-01, 6.232875E+00, 9.545206E+02
   120, 5.434793E-05, 3.606738E-04, 8.452868E-01, 6.360238E+00, 9.667166E+02
   130, 5.527953E-05, 3.759420E-04, 8.463632E-01, 6.496079E+00, 9.807147E+02
   140, 5.556239E-05, 3.911822E-04, 8.460342E-01, 6.600210E+00, 9.876459E+02
   150, 5.505557E-05, 4.058174E-04, 8.450735E-01, 6.680094E+00, 9.911006E+02
   160, 5.460596E-05, 4.200278E-04, 8.435021E-01, 6.739277E+00, 9.907609E+02
   170, 5.444784E-05, 4.342406E-04, 8.413313E-01, 6.775699E+00, 9.870742E+02
   180, 5.469132E-05, 4.480829E-04, 8.402415E-01, 6.828650E+00, 9.882889E+02
   190, 5.507385E-05, 4.612860E-04, 8.403898E-01, 6.906089E+00, 9.949770E+02
   200, 5.521868E-05, 4.741470E-04, 8.405010E-01, 6.982561E+00, 1.001023E+03
   210, 5.511477E-05, 4.869419E-04, 8.397063E-01, 7.036635E+00, 1.002334E+03
   220, 5.513549E-05, 4.995975E-04, 8.385244E-01, 7.075445E+00, 1.001727E+03
   230, 5.538738E-05, 5.118022E-04, 8.382422E-01, 7.130320E+00, 1.005425E+03
   240, 5.552600E-05, 5.235018E-04, 8.382787E-01, 7.193462E+00, 1.010092E+03
   250, 5.546861E-05, 5.350673E-04, 8.380109E-01, 7.247874E+00, 1.013210E+03
   260, 5.581912E-05, 5.461274E-04, 8.386030E-01, 7.318894E+00, 1.020857E+03
   270, 5.576161E-05, 5.572312E-04, 8.382841E-01, 7.370176E+00, 1.023363E+03
   280, 5.558543E-05, 5.682311E-04, 8.374543E-01, 7.406172E+00, 1.023326E+03
   290, 5.569007E-05, 5.789291E-04, 8.371760E-01, 7.451081E+00, 1.026068E+03
   300, 5.576872E-05, 5.895384E-04, 8.365906E-01, 7.487336E+00, 1.027060E+03
   310, 5.590715E-05, 5.998295E-04, 8.369154E-01, 7.542232E+00, 1.032739E+03
   320, 5.599900E-05, 6.101469E-04, 8.366065E-01, 7.581378E+00, 1.034796E+03
   330, 5.612440E-05, 6.202874E-04, 8.364335E-01, 7.622982E+00, 1.037298E+03
   340, 5.607540E-05, 6.302690E-04, 8.362247E-01, 7.662634E+00, 1.039631E+03
   350, 5.599644E-05, 6.401229E-04, 8.358106E-01, 7.695898E+00, 1.040785E+03
   360, 5.597856E-05, 6.499237E-04, 8.351571E-01, 7.720661E+00, 1.040688E+03
   370, 5.609473E-05, 6.595141E-04, 8.349863E-01, 7.755160E+00, 1.042965E+03
   380, 5.599425E-05, 6.692247E-04, 8.341830E-01, 7.773607E+00, 1.041759E+03
   390, 5.605484E-05, 6.787906E-04, 8.334779E-01, 7.791580E+00, 1.041223E+03
   400, 5.609822E-05, 6.881895E-04, 8.331027E-01, 7.816383E+00, 1.042174E+03
   410, 5.618964E-05, 6.976409E-04, 8.327065E-01, 7.839959E+00, 1.042989E+03
   420, 5.617946E-05, 7.068920E-04, 8.322559E-01, 7.861260E+00, 1.043402E+03
   430, 5.620605E-05, 7.030738E-04, 8.309524E-01, 7.839817E+00, 1.049532E+03
   440, 5.598563E-05, 7.094276E-04, 8.276622E-01, 7.813093E+00, 1.049732E+03
   450, 5.616072E-05, 7.142083E-04, 8.257268E-01, 7.810478E+00, 1.052638E+03
   460, 5.617645E-05, 7.183184E-04, 8.242315E-01, 7.815041E+00, 1.055122E+03
   470, 5.618099E-05, 7.216858E-04, 8.233241E-01, 7.830783E+00, 1.059090E+03
   480, 5.638213E-05, 7.250186E-04, 8.227093E-01, 7.850246E+00, 1.064095E+03
   490, 5.644616E-05, 7.270576E-04, 8.231129E-01, 7.892873E+00, 1.072512E+03
   500, 5.617620E-05, 7.299126E-04, 8.222309E-01, 7.906389E+00, 1.073946E+03
   510, 5.603276E-05, 7.322875E-04, 8.210808E-01, 7.911635E+00, 1.074156E+03
   520, 5.612388E-05, 7.348333E-04, 8.200989E-01, 7.918660E+00, 1.075252E+03
   530, 5.591567E-05, 7.374982E-04, 8.187532E-01, 7.916426E+00, 1.073962E+03
   540, 5.596088E-05, 7.403340E-04, 8.174190E-01, 7.913048E+00, 1.072695E+03
   550, 5.595473E-05, 7.428171E-04, 8.163539E-01, 7.914559E+00, 1.072744E+03
   560, 5.591757E-05, 7.456236E-04, 8.151184E-01, 7.911747E+00, 1.071510E+03
   570, 5.597799E-05, 7.483729E-04, 8.140598E-01, 7.911886E+00, 1.071243E+03
   580, 5.596742E-05, 7.512503E-04, 8.129730E-01, 7.911061E+00, 1.070518E+03
   590, 5.614252E-05, 7.540395E-04, 8.121960E-01, 7.915966E+00, 1.071512E+03
   600, 5.600787E-05, 7.570355E-04, 8.112025E-01, 7.916613E+00, 1.070733E+03
   610, 5.597864E-05, 7.599733E-04, 8.102588E-01, 7.917673E+00, 1.070327E+03
   620, 5.615308E-05, 7.628605E-04, 8.098475E-01, 7.929343E+00, 1.072820E+03
   630, 5.615332E-05, 7.654025E-04, 8.096008E-01, 7.944631E+00, 1.075291E+03
   640, 5.613512E-05, 7.683005E-04, 8.087648E-01, 7.947195E+00, 1.075150E+03
   650, 5.604619E-05, 7.712776E-04, 8.076860E-01, 7.944156E+00, 1.073556E+03
   660, 5.618779E-05, 7.740944E-04, 8.074698E-01, 7.958531E+00, 1.076429E+03
   670, 5.623573E-05, 7.767824E-04, 8.072577E-01, 7.973086E+00, 1.079043E+03
   680, 5.621858E-05, 7.795755E-04, 8.066049E-01, 7.978467E+00, 1.079301E+03
   690, 5.609976E-05, 7.824855E-04, 8.056015E-01, 7.976187E+00, 1.077683E+03
   700, 5.618137E-05, 7.854232E-04, 8.047397E-01, 7.976128E+00, 1.077209E+03
   710, 5.631918E-05, 7.882084E-04, 8.044581E-01, 7.987195E+00, 1.079611E+03
   720, 5.620241E-05, 7.910673E-04, 8.037298E-01, 7.989772E+00, 1.079029E+03
   730, 5.614892E-05, 7.941043E-04, 8.027752E-01, 7.987210E+00, 1.077624E+03
   740, 5.628115E-05, 7.969829E-04, 8.023378E-01, 7.994514E+00, 1.078867E+03
   750, 5.624900E-05, 7.999382E-04, 8.020369E-01, 8.004602E+00, 1.080403E+03
   760, 5.621844E-05, 8.028158E-04, 8.012920E-01, 8.005906E+00, 1.079794E+03
   770, 5.617038E-05, 8.058735E-04, 8.006919E-01, 8.009618E+00, 1.079785E+03
   780, 5.639238E-05, 8.084406E-04, 8.011307E-01, 8.033716E+00, 1.085114E+03
   790, 5.631415E-05, 8.112583E-04, 8.006479E-01, 8.040102E+00, 1.085361E+03
   800, 5.648614E-05, 8.139739E-04, 8.007504E-01, 8.057395E+00, 1.088767E+03
   810, 5.628166E-05, 8.167756E-04, 8.000284E-01, 8.058969E+00, 1.087639E+03
   820, 5.617645E-05, 8.196824E-04, 7.989825E-01, 8.053270E+00, 1.085274E+03
   830, 5.631718E-05, 8.224098E-04, 7.985430E-01, 8.058722E+00, 1.086124E+03
   840, 5.636300E-05, 8.251720E-04, 7.983678E-01, 8.069397E+00, 1.087993E+03
   850, 5.618226E-05, 8.281839E-04, 7.975320E-01, 8.067586E+00, 1.086202E+03
